"mention_id","mention_title","mention_text","mention_url","mention_creationdate","mention_sentiment","mention_deleted","source_url","author_nick","author_name","author_url","author_type","author_additiondate","author_modificationdate","author_readers","author_excluded","author_image","mention_image"
"https://instagram.com/p/1f4YdRiHeP/","Опубликовано в Instagram","Новый для меня #патент от <b>#maggi</b> на #второе Куриная грудка жарится в специальной бумаге покрытой специями. После чего получается сочное наивкуснейшее объедение ??","https://instagram.com/p/1f4YdRiHeP","2015-04-15T17:00:02","0","0","instagram.com","Viktoria Slutsky","Mom of 3 awesome boys ⚽🏀🎳
Love cooking, crafting and being a mom 👸
http://www.Kapara.etsy.com - new life for cardboard","http://instagram.com/visartdali","2","2014-11-20T00:40:27.3730000","2015-07-04T10:12:58.1530000","419","0",NA,NA
"http://otvet.mail.ru/question/175978464#189679365","RE: Действительно ли вреден <b>кубик Маги</b> или Галина бланка?"," Пользуюсь более 15 лет <b>кубиком Маги</b>, мне нравится! Ерунду пишут! ","http://otvet.mail.ru/question/175978464#189679365","2015-03-05T21:31:00","1","0","otvet.mail.ru","Marina Nikolaeva","Marina Nikolaeva","http://otvet.mail.ru/profile/id5566141","2","2014-06-02T23:05:16.3800000","2014-06-02T23:05:16.3800000","-1","0",NA,NA
"http://vk.com/wall-91634181_6","Маги в скайриме хилые в плане защиты существа наносящие большой урон. Его ремеслом является ""зачарование"", хотя другими ","Маги в скайриме хилые в плане защиты существа наносящие большой урон. Его ремеслом является ""зачарование"", хотя другими ремеслами никто не запрещал заниматься. Помимо большего урона <b>маги</b> имеют ряд <b>полезных</b> заклинаний различных школ магии. Однако маги сильно уязвимы к обычным атакам и на высоких уровнях вас могут убить с 1 силовой атаки, что бы избежать подобного нужно продумывать дальнейшие действия в этом и заключается интерес  ... ","http://vk.com/wall-91634181_6","2015-04-09T21:40:07","-1","1","vk.com","SKYRIM","","http://vk.com/club91634181","2","2015-04-10T10:10:22.8970000","2015-04-10T10:49:47.8900000","3","0",NA,NA
"http://www.facebook.com/710108495762253","Maggi ke ban hone ke baad Yippie noodles ko itni khushi ho rahi hogi...","Maggi ke ban hone ke baad Yippie noodles ko itni khushi ho rahi hogi jaise college ke stud ladke ki bike kharab ho jaane par cycle wale gareebo ko hoti hai xD :v.","http://www.facebook.com/permalink.php?id=358583280914778&story_fbid=710108495762253","2015-06-09T11:44:49","0","1","facebook.com","Maa Ki Aankh","Maa Ki Aankh","http://www.facebook.com/profile.php?id=358583280914778","2","2014-07-12T12:31:16.9300000","2014-07-12T12:31:16.9300000","-1","0",NA,NA
"http://www.facebook.com/944971165565866","Girl: Kya kar sakte ho mere liye? Boy : Maggi kha sakta hun. Girl...","Girl: Kya kar sakte ho mere liye? Boy : Maggi kha sakta hun. Girl: Awwww itna pyar karte ho mujhse..","http://www.facebook.com/permalink.php?id=132572063472451&story_fbid=944971165565866","2015-06-04T19:57:48","0","1","facebook.com","Miss u Balaghat","Miss u Balaghat","http://www.facebook.com/profile.php?id=132572063472451","2","2015-05-31T11:54:19.6670000","2015-05-31T11:54:19.6670000","-1","0","https://avatars.yandex.net/get-profile-avatar/feed.962554008/normal",NA
"http://twitter.com/MunsonCarlos/statuses/591115276143435776","C <b>МАГГИ</b>® НА ВТОРОЕ для нежной курицы с чесноком и травами...","C <b>МАГГИ</b>® НА ВТОРОЕ для нежной курицы с чесноком и травами...","http://twitter.com/MunsonCarlos/statuses/591115276143435776","2015-04-23T08:43:58","1","1","twitter.com","MunsonCarlos","","http://twitter.com/MunsonCarlos","2","2015-01-17T23:36:57.2300000","2015-06-18T16:39:31.9300000","4","0",NA,NA
"https://instagram.com/p/z0IHg9q3L0/","Опубликовано в Instagram","Dinner! <b>#maggi</b> #instainstantnoodles","https://instagram.com/p/z0IHg9q3L0","2015-03-04T20:39:34","0","1","instagram.com","Sadia Mallk Kakon","Take photos for passion, heal people by profession. Born a Cancer, aspire to conquer cancer!! 📷♿🚼🚭","http://instagram.com/dreamingdoc","2","2015-03-04T23:06:27.1300000","2015-03-13T12:43:14.1800000","119","0",NA,NA
"http://otzovik.com/review_2131801.html","Отзыв: Приправа <b>Maggi</b> ""На второе"" для сочного цыпленка табака - Получается вкусно, но можно и дешевле."," ... сил. Просто специи добавил, поставил в духовку, погулял и кушать подано. Отлично, просто и вкусно. Я попробовала почти все приправы серии <b>Магги</b> на второе и скажу, что встречаются очень даже достойные. Например приправа для приготовления цыпленка табака. Берите цыпленка с весом не более 1  ... кг и не менее 800 грамм. Достаем все, что нам положили в пакетик <b>магги</b>. Там должен быть пакетик для запекания и сама приправа. Сначала приготовьте пакетик, чтобы потом не лапать его лишний раз грязными руками. ... ","http://otzovik.com/review_2131801.html","2015-05-30T03:00:00","1","0","otzovik.com","LittaWinston","","http://otzovik.com/profile/LittaWinston","2","2015-03-02T05:47:53.3170000","2015-03-02T05:47:53.3170000","-1","0",NA,NA
"http://vk.com/wall-95412396_24","⭐ Звезда Полина Гагapина сброcuла 30 кг ⭐ В cвoем инmеpвью Андрeю Mалахову поcле ""Eврoвuдения"" Полинa pасскaзалa, как e"," ...  раздельное семидневное гум почечная профессионалов дневная избавиться фитнес лунная атаки дне кушать maxler виды горчицы нутрилон бромелайн монтиньяк белковой болях недели обмен холецистите клиник рассасывающиеся натуральный пояс бесшлаковая курице простой доктор элькарнитин шарик <b>магги</b> калорий инны гиполипидемическая thalion весне попой холестерине ваша истории молочнице бассейне ягода неделя грудном 2014 моделей сливки сколько magic вертикальный алексей пластик составить натура средиземноморская грейпфрут лайт холодным липо miha ves qnt ев ... ","http://vk.com/wall-95412396_24","2015-06-02T23:03:47","-1","1","vk.com","Лобанова Ульяна","","http://vk.com/club95412396","2","2015-06-02T22:07:19.4300000","2015-06-02T22:07:11.1200000","1","0","https://pp.vk.me/c625529/v625529423/1e420/HO5vGY1J9_0.jpg",NA
"http://www.facebook.com/904005229652257","...pehle dikhayenge, .. .. main #mukesh main din me do baar #maggi...","ab wo din dur nhi jb #Film shuru hone se pehle dikhayenge, .. .. main #mukesh main din me do baar #maggi khata tha. : D :D #shubham.","http://www.facebook.com/permalink.php?id=362549937131125&story_fbid=904005229652257","2015-06-18T20:28:16","0","1","facebook.com","Pyar hota nahi ho jata hai.","Pyar hota nahi ho jata hai.","http://www.facebook.com/profile.php?id=362549937131125","2","2014-11-20T16:12:21.2970000","2014-11-20T16:12:21.2970000","-1","0",NA,NA
